"Sea sex and sun",les_bronzes_001_sea_sex_and_sun
"Bienvenue à Galaswinda",les_bronzes_002_bienvenue_a_galaswinda_instru
"Bip Bip",les_bronzes_003_bip_bip
"Bienvenue à Galaswinda chant",les_bronzes_004_bienvenue_a_galaswinda_chant
"Jean Claude DUSSE",les_bronzes_005_jean_claude_dusse
"Gigi",les_bronzes_006_gigi
"C'est quoi vos prénoms?",les_bronzes_007_c_est_quoi_vos_prenoms
"Chier ... répondre ... pétasses",les_bronzes_008_chier_de_repondre_petasses
"Ça va pas bien derrière",les_bronzes_009_ca_va_pas_bien_derriere
"Piquer son slip",les_bronzes_010_piquer_son_slip
"Excuse-moi vieux",les_bronzes_011_excuse_moi_vieux
"Quel pourcentage de filles",les_bronzes_012_quel_pourcentage_fille_pour_mec
"Ah oui d'accord",les_bronzes_013_ah_oui_d_accord
"Bip Bip 2",les_bronzes_014_bip_bip_bis
"Ici empêchera pas de m'amuser",les_bronzes_015_ici_empechera_pas_amuser
"Tu danses avec moi ?",les_bronzes_016_tu_danses_avec_moi
"Bonsoir, nous allons nous coucher",les_bronzes_017_bonsoir_nous_allons_nous_coucher
"Bonsoir, nous allons les niquer",les_bronzes_018_bonsoir_nous_allons_les_niquer
"C'est humide",les_bronzes_019_c_humide_froid_au_cul
"Radio Galaswinda bonjour",les_bronzes_020_radio_galaswinda_bonjour
"J'vais me faire rapatrier",les_bronzes_021_rapatrier_europe_assistance
"Va te tremper",les_bronzes_022_va_te_tremper_tu_es_tt_cyanose
"Il me tire les poils",les_bronzes_023_il_me_tire_les_poils
"Ils me saoulent moi ces gens-là",les_bronzes_024_il_me_saoulent_moi_ces_gens_la
"Bouleversante de connerie",les_bronzes_025_bouleversante_de_connerie
"File lui ses 3000",les_bronzes_026_file_lui_ses_30000_c_est_un_con
"Marchande pas les piments",les_bronzes_027_marchande_pas_non_pas_les_piments
"C'est ballot, c'est aphrodisiaque",les_bronzes_028_ballot_aphrodisiaque
"C'est peut-être mieux comme ça",les_bronzes_029_mieux_comme_ca
"Le grand y va baiser ta femme",les_bronzes_030_le_grand_baiser_ta_femme
"Oh, j'ai une chiasse",les_bronzes_031_oh_j_ai_une_chiasse
"Alors, heureuse ?",les_bronzes_032_alors_heureuse
"Tu vas être dans les 10-15 premières",les_bronzes_033_10_15_premieres
"D'accord OK d'accord",les_bronzes_034_daccord_ok_daccord
"Dernière des putes",les_bronzes_035_derniere_des_putes
"Ça casse pas ce qu'il y a dedans",les_bronzes_036_ca_casse_pas_ce_qu_il_y_a_dedans
"Bien tirer une grande cheminée comme cela",les_bronzes_037_bien_tirer_grande_cheminee
"À 4 c'est immonde",les_bronzes_038_4_immonde_2_degueulasse
"On est un couple très libre",les_bronzes_039_couple_tres_libre_elle_surtout
"Je suis flapi",les_bronzes_040_je_suis_flapi
"C'est uniquement sexuel",les_bronzes_041_uniquement_sexuel
"Un Scrabble dans ma case ?",les_bronzes_042_scrabble_dans_ma_case
"C'est tout moi, j'ai gaffé",les_bronzes_043_c_est_tout_moi_g_gaffe
"Uniquement sexuel entre nous",les_bronzes_044_uniquement_sexuel_entre_nous
"Très vite ils me déballent tout",les_bronzes_045_tres_vite_deballent_tout
"Très difficile de jouer",les_bronzes_046_tres_difficile_jouer_moins_fort_que_sois
"Elle a pris le soleil",les_bronzes_047_elle_a_pris_le_soleil
"Au temps pour moi",les_bronzes_048_au_temps_pour_moi
"Pas fait exprès, mais elle est belle",les_bronzes_049_pas_fait_expres_mais_belle
"Habile le macaronis",les_bronzes_050_habile_macaronis
"Fesses à l'air",les_bronzes_051_fesses_a_l_air
"Y a une bête",les_bronzes_052_y_a_une_bete
"Dis camion",les_bronzes_053_dis_camion
"Ta gueule toi",les_bronzes_054_ta_gueule_toi
"Je serre les dents, mais j'ai des caries",les_bronzes_055_serre_les_dents_caries
"T'endors pas sur le paquet",les_bronzes_056_t_endors_pas_sur_le_paquet
"Il réagit comme un enfant",les_bronzes_057_reagis_comme_un_enfant
"Ouvertures avec ta femme ?",les_bronzes_058_ouverture_avec_ta_femme
"Ça doit venir de très loin c'est japonais",les_bronzes_059_ca_vient_de_loin_c_est_japonais
"Tu le sens pas là ? Ben le fait pas",les_bronzes_060_tu_le_sens_pas_le_fait_pas
"Oui, oui, mais non",les_bronzes_061_oui_oui_mais_non
"Ça te plait hein, vicieux",les_bronzes_062_ca_te_plait_vicieux
"Il me propose une partouse",les_bronzes_063_propose_une_partouse
"Chanson Onomatopées",les_bronzes_064_chanson_onomatopees
"2e degrès",les_bronzes_065_2ieme_degres
"3827Kg de gonzesses",les_bronzes_066_3827_kg_de_gonzesses
"Elle aime la bite",les_bronzes_067_elle_aime_la_bite
"André à plongé",les_bronzes_068_plonge_bip_bip_coule_plomb
"Année très difficile sentimentalement",les_bronzes_069_annee_difficile
"Séparé d'un commun accord",les_bronzes_070_commun_accord_scuicide
"2 tubes de laxatif",les_bronzes_071_laxatifs_moquette
"Tout le camps se l'est faite",les_bronzes_072_tout_le_camps_se_l_est_faite
"Il y en a des belles",les_bronzes_073_il_y_en_a_des_belles
"Bienvenue à Galaswinda BO",les_bronzes_074_bienvenue_a_galaswinda_bo